SEN,South Entrance,Lakeside Crossing,Entrance
BIR,Bird House,Historic Hill,Exhibit
PBP,"Polar Bear Point, Grizzly Ridge",The Wild,Exhibit
SLS,Sea Lion Sound,Lakeside Crossing,Exhibit
INS,Insectarium,Discovery Corner,Exhibit
REE,River's Edge Entrance,River's Edge,Exhibit
REX,River's Edge Exit,River's Edge,Exhibit
LIV,The Living World,Discovery Corner,Visitor's Center
LKC,Lakeside Caf�,Lakeside Crossing,Caf�
PNG,Penguin Coast,The Wild,Exhibit
FLG,Flamingo,The Wild,Exhibit
JGA,Jungle of the Apes,The Wild,Exhibit
FCE,Flight Cage Entrance,Historic Hill,Exhibit
FCX,Flight Cage Exit,Historic Hill,Exhibit
HPT,Herpetarium,Historic Hill,Exhibit
PMH,Primate House,Historic Hill,Exhibit
BCC,Big Cat Country,Red Rocks,Exhibit
CZA,"Camel, Zebra, Addax",Red Rocks,Exhibit
ANT,Antelope,Red Rocks,Exhibit
GIR,Giraffe,Red Rocks,Exhibit
